t,T,T_eff,L,rho,R,X
0.1,116752.9507033138,452.20479281972257,0.09418339278318615,5.639119297230102e-06,50.0,0.98
5.1,116753.30077155527,452.2056321076348,0.09418352698206359,5.6391700418295335e-06,49.99985002299019,0.98
7.6,116753.47580406125,452.2060517473552,0.09418359408079971,5.639195414009388e-06,49.99977503551432,0.98
10.1,116753.65083869337,452.2064713919302,0.09418366118029545,5.639220786573573e-06,49.99970004735242,0.98
60.1,116757.1516255367,452.2148644582762,0.09418500319464806,5.639728267501977e-06,49.99820029097473,0.98
85.1,116758.90185747413,452.21906056787,0.09418567413158274,5.639981995977024e-06,49.9974505156879,0.98
110.1,116760.65230204233,452.2232571629524,0.09418634514446891,5.640235762891183e-06,49.996700671795196,0.98
610.0999999999999,116795.67061613592,452.30720655302935,0.09419976784648966,5.645314067341288e-06,49.981704479971874,0.98
860.0999999999999,116813.16361233116,452.34913886655255,0.09420647217002694,5.647852017676967e-06,49.974216672285706,0.98
1110.1,116830.67789067059,452.39111976698166,0.0942131840943134,5.650393817935581e-06,49.96672200124644,0.98
6110.0999999999985,117181.9083754051,453.2324905201391,0.09434766748693194,5.701528144365335e-06,49.81689718602615,0.98
8610.099999999999,117355.89506895153,453.64891410590667,0.09441420311673922,5.726972118103102e-06,49.74301162602677,0.98
11110.099999999999,117532.02911675467,454.0702345236378,0.09448150441918174,5.752807145181957e-06,49.668436983025806,0.98
61110.099999999984,121151.92154346453,462.6759192663243,0.095852510270586,6.301122970397491e-06,48.18380730648524,0.98
86110.09999999998,122786.1988974378,466.52854011192034,0.0964640483416749,6.5596835518978645e-06,47.54222124871987,0.98
111110.09999999998,124655.10918384907,470.9100838982089,0.0971578822933417,6.8639276124493275e-06,46.829141939949565,0.98
329368.4766183338,142699.6420318129,511.98357715401795,0.10357899177999462,1.0298891337308875e-05,40.90505112368824,0.98
438497.66492750065,147396.45563114676,522.3381058633213,0.10517494838765633,1.1350202516157184e-05,39.600976485274664,0.98
547626.8532366676,158148.6979686142,545.5724963822674,0.10872430518785975,1.4021247696972545e-05,36.90723792846108,0.98
803436.9827012004,181925.7823295653,594.8770680204238,0.1161177623599824,2.1348982977181575e-05,32.081010159735186,0.98
931342.0474334669,187869.20360089876,606.8015925651721,0.11787900717659923,2.3511881283822688e-05,31.065473083695395,0.98
1059247.1121657332,202142.22382980812,634.8536019005363,0.1219829685000731,2.929237218476017e-05,28.87058499358329,0.98
1350681.4846744416,232523.51468241724,692.1116614397862,0.13019690360229308,4.459825122744677e-05,25.095806392237396,0.98
1496398.6709287958,240091.13504300118,705.9094214870585,0.13214513912819845,4.909970622673847e-05,24.3041703509559,0.98
1642115.85718315,258323.3335317666,738.4704861758183,0.13669709751450707,6.116764078961482e-05,22.587414502388672,0.98
1973676.477410407,297026.3597560645,804.7421358336321,0.14577306952719105,9.302213704479585e-05,19.641666264653615,0.98
2139456.7875240357,306655.14209680056,820.6912373487639,0.1479212995408779,0.00010237514286516349,19.02431046851901,0.98
2305237.097637664,329860.58788949,858.3394467719314,0.15293936240399142,0.00012744926378600787,17.684576121230606,0.98
2682583.259472972,379093.5693382993,934.9143573524875,0.1629272056418267,0.00019355409970087196,15.385311969398844,0.98
2871256.3403906254,391327.09162611724,953.3188646205134,0.16528600148887138,0.00021292998567286933,14.903724829080826,0.98
