t,T,T_eff,L,rho,R,X
0.1,50892.54641911906,1165.9597452408043,14985.471579924233,1.566422027008362e-09,3000.0,0.98
5.1,51300.604259158295,1170.7403240131441,14991.389685740074,1.6044038137327224e-09,2976.1372344761253,0.98
7.6,51497.485165865364,1173.0400911986706,14994.221532224034,1.6229468993187158e-09,2964.7591066491236,0.98
10.1,51702.488222729604,1175.430079969429,14997.154123510987,1.6424062286456444e-09,2953.003674991246,0.98
60.1,56098.20145529658,1225.5847008414114,15056.35836340843,2.0979403422528013e-09,2721.613625152987,0.98
85.1,57462.04119721773,1240.7444459177261,15073.417934858182,2.254703768039252e-09,2657.0171137483308,0.98
110.1,59844.18361353526,1266.798915078194,15101.889627924682,2.5469019258331493e-09,2551.2524882884686,0.98
185.4550195776186,66696.50143597367,1338.9886871386566,15175.601179583251,3.5257835950686798e-09,2289.1397018879384,0.98
223.1325293664279,68367.92866457206,1356.028065106215,15191.974762820846,3.79755249366205e-09,2233.175836099379,0.98
260.8100391552372,72228.60624980072,1394.6083412298942,15227.720110284663,4.4778989094521685e-09,2113.8106755041,0.98
351.15806124595775,80514.32603332993,1474.0770338517955,15296.026532462827,6.20249182158648e-09,1896.278474195198,0.98
396.332072291318,82526.74811555653,1492.7534887368163,15311.12581236339,6.679299912897792e-09,1850.0375091408096,0.98
441.50608333667833,87195.96393240272,1535.2298489623247,15344.227080746192,7.878362712783943e-09,1750.9706162830557,0.98
549.5572099226173,97179.00864427598,1622.3935820677793,15407.21004203662,1.0905971946691524e-08,1571.0960009025284,0.98
603.5827732155867,99603.42103862639,1642.8773818785273,15421.127187286995,1.1742749266671842e-08,1532.8544510068587,0.98
657.6083365085562,105226.90201578592,1689.452282064181,15451.623485781682,1.3846100080385687e-08,1450.9363454660393,0.98
786.8782372123925,117251.65469905075,1785.0441139614272,15509.63903496485,1.9155974385380673e-08,1302.1352606108912,0.98
851.5131875643106,120171.84305393198,1807.50918104847,15522.455024452012,2.062317463707742e-08,1270.4931917018105,0.98
916.1481379162287,126942.89225154172,1858.5725668691568,15550.52463888362,2.430930987898515e-08,1202.7258315940408,0.98
1070.8634322334906,141424.12732907553,1963.4022182106976,15603.918457981334,3.361384698748745e-08,1079.5715779621798,0.98
1148.2210793921217,144940.8104797369,1988.038978017256,15615.71051505984,3.618426948602665e-08,1053.3780041418595,0.98
