t,T,T_eff,L,rho,R,X
1388185.3022083752,2992149.877406686,4881.973711921632,7.547754899536966,0.024890736338406234,3.8403533202667917,0.9799999999999999
1512821.1969046067,3379442.8606688823,5227.230358798477,7.768789406441621,0.035916302582003234,3.3984943828002963,0.9799999999999998
1575139.1442527222,3473446.054651969,5308.163073308116,7.818161192366232,0.03901219772183448,3.306107403415152,0.9799999999999993
1637457.091600838,3697302.509862711,5496.810633465475,7.929828166731336,0.04709348145690336,3.1050135363261346,0.9799999999999991
1782805.7534581122,4170298.4105682294,5878.311364463376,8.141803906900167,0.06770587704186128,2.7511122303943796,0.979999999999998
1855480.0843867494,4284881.7919591,5967.566328128328,8.188859726157068,0.0734751006139614,2.6771355871692175,0.9799999999999932
1928154.4153153866,4557533.005767949,6175.452498361165,8.294919266932625,0.08850876400332765,2.5160639292640847,0.9799999999999913
2097979.043659166,5133498.059169497,6595.767342889569,8.4950046084888,0.12677638056205048,2.232052030882183,0.9799999999999802
2182891.3578310558,5272730.087568516,6693.893889078441,8.539092250970073,0.1374507748278627,2.1727080137808445,0.9799999999999385
2267803.6720029456,5603804.309829243,6922.290169975214,8.638057171499947,0.1652214762717114,2.0434386222583427,0.9799999999999225
2466610.7695862483,6302980.588422902,7383.944170045885,8.823284011732303,0.23576364975687397,1.8150620715995869,0.9799999999998279
2566014.3183779,6471598.37866587,7491.466632497241,8.863722195877521,0.2553693089065155,1.76737020792699,0.9799999999995002
2665417.867169551,6872323.820819831,7741.598269469114,8.954040284870672,0.3063000221403192,1.6634180927485427,0.9799999999993739
2898615.8519281503,7718267.63880053,8246.998182817913,9.121301980068123,0.43539350915753383,1.4794141908526268,0.9799999999986457
3015214.8443074496,7921737.4161984455,8364.394917691854,9.157380841841663,0.47113142254016566,1.4410191093769418,0.9799999999962034
3131813.8366867495,8405101.92259621,8637.397058667773,9.237433417343766,0.5638481158091633,1.3572600073919165,0.979999999995242
3405908.699235207,9424985.613195501,9188.73371798494,9.383481825376066,0.7983250923519172,1.2087147922274704,0.9799999999896053
3542956.1305094357,9669546.361468209,9316.409737169488,9.414463961218928,0.8629584709148495,1.1777518585904354,0.9799999999657649
3680003.5617836644,10250426.150572982,9613.269728454587,9.482565026934573,1.0304568993181045,1.1101299507907594,0.9799999999556657
