t,T,T_eff,L,rho,R,X
0.1,108689.12612025766,21.268217421516947,1.843393466164297e-10,0.014097798243075256,1.0,0.98
5.1,108689.1261202871,21.268217421519942,1.8433934661642536e-10,0.01409779824308767,0.9999999999997065,0.98
7.6,108689.12612030175,21.268217421521417,1.8433934661642234e-10,0.01409779824309388,0.9999999999995597,0.98
10.1,108689.12612031646,21.268217421522916,1.8433934661642014e-10,0.014097798243100085,0.9999999999994129,0.98
60.1,108689.12612061019,21.26821742155264,1.843393466163686e-10,0.014097798243224236,0.9999999999964775,0.98
85.1,108689.12612075705,21.268217421567506,1.8433934661634282e-10,0.01409779824328631,0.9999999999950098,0.98
110.1,108689.12612090388,21.268217421582357,1.8433934661631654e-10,0.014097798243348385,0.999999999993542,0.98
610.0999999999999,108689.12612384137,21.268217421879733,1.8433934661580423e-10,0.014097798244589867,0.999999999964188,0.98
860.0999999999999,108689.12612531001,21.268217422028385,1.8433934661554666e-10,0.014097798245210609,0.9999999999495109,0.98
1110.1,108689.1261267787,21.268217422177052,1.8433934661528985e-10,0.014097798245831352,0.9999999999348339,0.98
6110.0999999999985,108689.12615615268,21.268217425150457,1.8433934661015396e-10,0.014097798258246188,0.9999999996412932,0.98
8610.099999999999,108689.12617083963,21.268217426637154,1.8433934660758583e-10,0.014097798264453605,0.9999999994945228,0.98
11110.099999999999,108689.12618552658,21.268217428123844,1.8433934660501738e-10,0.014097798270661021,0.9999999993477524,0.98
61110.099999999984,108689.126479266,21.268217457857816,1.8433934655365572e-10,0.014097798394809371,0.9999999964123449,0.98
86110.09999999998,108689.12662613571,21.268217472724814,1.8433934652797507e-10,0.014097798456883545,0.9999999949446412,0.98
111110.09999999998,108689.12677300545,21.26821748759181,1.8433934650229463e-10,0.014097798518957726,0.9999999934769374,0.98
611110.0999999999,108689.12971039965,21.26821778493156,1.843393459886778e-10,0.014097799760441303,0.9999999641228625,0.98
861110.0999999997,108689.13117909657,21.26821793360143,1.8433934573186987e-10,0.014097800381183032,0.9999999494458278,0.98
1111110.0999999996,108689.13264779371,21.26821808227131,1.843393454750618e-10,0.014097801001924877,0.9999999347687912,0.98
6111110.099999998,108689.1620217428,21.268221055669304,1.8433934033889322e-10,0.014097813416768624,0.9999996412280788,0.98
8611110.099999998,108689.17670869616,21.268222542365926,1.843393377708093e-10,0.014097819624184516,0.9999994944579933,0.98
11111110.099999996,108689.19139567151,21.268224029064623,1.843393352027192e-10,0.014097825831611682,0.9999993476877274,0.98
61111110.09999998,108689.48513582542,21.268253763072536,1.843392838403437e-10,0.014097949980843993,0.9999964122842131,0.98
86111110.09999996,108689.63200378379,21.26826862983949,1.843392581591954e-10,0.01409801205486161,0.9999949446095325,0.98
111111110.09999996,108689.77887394255,21.268283496814174,1.8433923247744302e-10,0.014098074130007115,0.9999934769168007,0.98
611111110.0999999,108692.71634179051,21.26858083969943,1.8433871878483667e-10,0.014099315701816054,0.9999641232426761,0.98
861111110.0999997,108694.18486384791,21.268729487443032,1.843384619425605e-10,0.014099936427855286,0.9999494491131987,0.98
1111111110.0999997,108695.65360595853,21.26887815595885,1.8433820503977917e-10,0.01410055726670063,0.9999347731785028,0.98
6111111110.099998,108725.03491651021,21.271851865425088,1.843330612273835e-10,0.014112980936916755,0.9996412725357501,0.98
8611111110.099998,108739.70437302625,21.27333634965367,1.8433048973573666e-10,0.014119186774060233,0.9994947928988295,0.98
11111111110.099998,108754.39585471309,21.274822912591404,1.843279121831849e-10,0.01412540390912522,0.9993481326437789,0.98
61111111110.09998,109048.87333497654,21.304588063511513,1.8427578391046913e-10,0.014250439380161673,0.9964167327073045,0.98
86111111110.09998,109193.98010539296,21.31923299037437,1.84249773156937e-10,0.014312345806113024,0.9949780272608826,0.98
111111111110.09998,109341.30928078055,21.33408727480526,1.8422314583847422e-10,0.01437539945859194,0.9935211645795121,0.98
611111111110.0999,112353.70904572034,21.634538290019044,1.836313112101375e-10,0.015709323845518236,0.9645644823677196,0.98
861111111110.0997,113634.68979049829,21.76043374105644,1.8335287499821885e-10,0.016302924167190914,0.9527126406797648,0.98
1111111111110.0996,115158.12724715252,21.90872972231002,1.830015562883423e-10,0.017029928320351547,0.9389579794056,0.98
2928038578049.271,126673.66553837428,22.981233324514466,1.7968588060085084e-10,0.023316366455248237,0.8455970766350076,0.98
3836502311518.8564,129183.15071776228,23.204000952613107,1.7882029028393942e-10,0.024885356278060232,0.8274386619662845,0.98
4744966044988.442,135460.74208935534,23.744827586565894,1.7645277758996787e-10,0.029151652785781603,0.784927182927563,0.98
6926963206677.377,148238.1175207385,24.775936236143345,1.7083274184139534e-10,0.039492587520943624,0.7093793911761139,0.98
8017961787521.844,150882.51320560547,24.97808369446231,1.695495712744492e-10,0.04193739626770036,0.6953176855553495,0.98
9108960368366.31,157765.16620952205,25.48672591084535,1.6603807719887567e-10,0.048838751835766796,0.6608895906882335,0.98
11713061622787.416,171386.2918762869,26.42098582587359,1.5844139052578713e-10,0.06502538750930846,0.6007440074700829,0.98
13015112249997.969,174126.1782893866,26.597590596943807,1.5682202208132253e-10,0.0687282072218142,0.5897556250365984,0.98
14317162877208.521,181349.8805369274,27.04542255081589,1.5242481868868445e-10,0.07928132588207332,0.5623328597750584,0.98
17453001818744.945,195535.7478836683,27.851084755486443,1.4332426405839208e-10,0.10369669556988706,0.5141961152724839,0.98
19020921289513.156,198307.7892979559,27.997249675531826,1.414845857351338e-10,0.1090988917237547,0.5055649810362685,0.98
20588840760281.367,205711.2726046512,28.369730128360313,1.364888683037419e-10,0.12464566709641822,0.4836056523715788,0.98
24404766734980.406,220156.6754694449,29.021843305947655,1.2645811693494975e-10,0.16018494641261577,0.44481203609465714,0.98
26312729722329.926,222894.7003050651,29.134321098838488,1.2452327759862247e-10,0.1677820158249553,0.4379944704304811,0.98
28220692709679.445,230312.56501860835,29.421157245213887,1.192405590841805e-10,0.18989534113099588,0.42028671297036563,0.98
32917003475827.83,244699.38338784018,29.90224594032891,1.0887419195609131e-10,0.23989834183891728,0.388783669896386,0.98
35265158858902.016,247339.9654461453,29.97961375138599,1.0696091902716862e-10,0.25021325868555494,0.3833660563340803,0.98
37613314241976.21,254608.87225849048,30.174745481957515,1.0168709516997442e-10,0.28064333978454925,0.36897662180204616,0.98
43462608107110.92,268625.74252390827,30.47525447304016,9.152597046550134e-11,0.34878623667372866,0.3431868595976276,0.98
46387255039678.27,271112.14131558454,30.517830559232078,8.972959079112159e-11,0.3623349458069797,0.3388548372001857,0.98
49311901972245.625,278079.96439540666,30.619312120148336,8.471247598741942e-11,0.4029427294299722,0.3270664439084951,0.98
56688278624964.33,291438.2854973082,30.73725538269859,7.519113635290119e-11,0.49309698710574507,0.30577805510912826,0.98
60376466951323.68,293723.18804827944,30.74686527692844,7.357868046334686e-11,0.5103509003441435,0.30229256701703977,0.98
64064655277683.03,300255.524397966,30.756399931679383,6.899977800691211e-11,0.5630322415935702,0.29255397855855064,0.98
73485917799728.19,312700.65271932236,30.696445713982648,6.042112016545849e-11,0.6791054297918784,0.27483457205678624,0.98
78196549060750.75,314747.7179858738,30.676103554286478,5.903031834454801e-11,0.700455083284932,0.27201342149020896,0.98
82907180321773.33,320731.62324351,30.59838047038727,5.5000630910335166e-11,0.7670628405482378,0.2639004407410253,0.98
95096390301060.4,332049.4746323324,30.370633070481333,4.753514095597114e-11,0.9128358715222334,0.24903068563414948,0.98
101190995290703.95,333833.83174579125,30.32419452541825,4.6377840449036126e-11,0.9385591946283344,0.24673449689892304,0.98
107285600280347.5,339179.27004868496,30.166162774671218,4.2944353190727494e-11,1.0208293083415598,0.23991977947473245,0.98
123261672059914.75,349199.1205608997,29.784851136739213,3.664683520506315e-11,1.199802323628288,0.2273424472897386,0.98
131249707949698.39,350707.0533813668,29.716679352306034,3.5714905796514526e-11,1.2300399418929,0.22546407856259418,0.98
139237743839482.02,355346.68749960046,29.486850679606906,3.287332030582335e-11,1.3295258770592788,0.21969398445804802,0.98
160449965900268.34,363941.1255178496,28.969066340960207,2.770901450102162e-11,1.5447819221264687,0.2089751781698207,0.98
171056076930661.53,365169.1875048276,28.88373659888753,2.6980985198035155e-11,1.5795208315749705,0.2074317880695117,0.9799999999999999
181662187961054.7,369057.0845864438,28.591567874296942,2.4690689674704146e-11,1.69753917362704,0.20250876662471512,0.9799999999999999
210191752112842.72,376139.9955165694,27.95613450484918,2.0563851081986118e-11,1.9516316883548535,0.19330858564854564,0.9799999999999998
224456534188736.75,377093.7708869141,27.85819024715382,2.0011021788983126e-11,1.990697681289442,0.1920357091246161,0.9799999999999996
238721316264630.75,380203.4747776339,27.513566663882095,1.8209390292765896e-11,2.1282863469898596,0.1878049683696316,0.9799999999999996
277585949859739.22,385726.77428431483,26.780079000140127,1.498952854589186e-11,2.4231537494907878,0.17985538273629031,0.9799999999999994
297018266657293.44,386419.4577840228,26.673842574131697,1.4580863450857e-11,2.4662122253334555,0.17880251158354354,0.9799999999999991
316450583454847.7,388741.74848719576,26.286664109679002,1.3195200661655887e-11,2.6241017116780747,0.17514196131607226,0.979999999999999
370069233038192.5,392691.40266658505,25.474705243025827,1.07383597669963e-11,2.961010104128856,0.16823013775075174,0.9799999999999984
396878557829864.9,393142.3255270568,25.364140855515,1.044393708294197e-11,3.007574375134521,0.16735741983659796,0.9799999999999979
423687882621537.3,394682.87872337113,24.94400458477523,9.400402870448508e-12,3.1861716919913987,0.1641700909344876,0.9799999999999975
498596104330914.25,397074.5959130595,24.07253375999464,7.564608249233587e-12,3.5656849836516895,0.1581258135578666,0.9799999999999963
536050215185602.7,397307.78661207535,23.961156905068677,7.357715473164216e-12,3.6151308613014654,0.15740158071035837,0.9799999999999953
573504326040291.1,398084.86726798763,23.517123386888883,6.587264376982122e-12,3.8145152372537385,0.15460990464364072,0.9799999999999947
679466010811051.8,398959.7262172081,22.604017819612707,5.242433499585359e-12,4.2364907175242,0.1492960590776688,0.9799999999999923
